#	Triage of every coverage obligation, with status derived mechanically from gate-obligations.tsv
#	and dataflow-obligations.tsv -- never hand-marked.
#	bucket 1 = a word in an existing grammar should do it
#	bucket 2 = needs a small grammar change HCLoader can produce and real morphology exhibits
#	bucket 3 = legitimate but strained; low value
#	4-EXCLUDED = nothing can ever cover it
#	4-TOOLING  = the obligation is real; the harness cannot express it (fix the tool, not the corpus)
#	4-ENGINE   = the engine decides it but never traces it, so it cannot be observed
kind	item	bucket	status	construct_in_plain_language	reason
arm	AllomorphCoOccurrenceRules:Blocked	4-TOOLING	Open	this allomorph may only appear alongside that morpheme	primaryAllomorph/otherAllomorphs are DTD #REQUIRED, so Sever always throws -- no word can ever witness this; needs a whole-element removal primitive
arm	AllomorphCoOccurrenceRules:Control	4-TOOLING	Open	same, unblocked	same
arm	MorphemeCoOccurrenceRules:Blocked	4-TOOLING	Open	this morpheme may only appear alongside that one	primaryMorpheme/otherMorphemes are DTD #REQUIRED, same as the allomorph pair
arm	MorphemeCoOccurrenceRules:Control	4-TOOLING	Open	same, unblocked	same
arm	HeadRequiredSyntacticFeatureStruct:Blocked	1	COVERED	the head of a compound must carry given features	present in compounding-breadth and a language grammar; severing headPartsOfSpeech changed no word
arm	HeadRequiredSyntacticFeatureStruct:Control	1	COVERED	same, unblocked	follows the Blocked arm
arm	NonHeadProdRestrictMprFeatures:Blocked	2	Open	the non-head of a compound must be productive for this rule	no grammar declares nonHeadProdRestrictionsMprFeatures; its trace call works, so a grammar edit alone would cover it
arm	NonHeadProdRestrictMprFeatures:Control	2	Open	same, unblocked	same
arm	NonHeadRequiredSyntacticFeatureStruct:Blocked	4-ENGINE	Open	the non-head of a compound must carry given features	AnalysisCompoundingRule.cs:65-73 discards a POS-mismatched nonhead with a bare continue and no trace call, so the synthesis raise site is dead in practice; needs one instrumentation line
arm	NonHeadRequiredSyntacticFeatureStruct:Control	4-ENGINE	Open	same, unblocked	same
