# GENERATED by hc-conformance --write-gate-obligations. One row per (gate, arm) pair, gate
# ranging over all 23 SIL.Machine.Morphology.HermitCrab.FailureReason members (excluding None)
# and arm in {Blocked, Control} -- the two arms MC/DC demands for each of the engine's own
# decision points, as opposed to conformance/dataflow-obligations.tsv's DTD-attribute-pair
# denominator (kept, not superseded -- see conformance/docs/how-it-is-computed.md). xml_reachable
# and flex_producible are the two layer verdicts a gate must clear to be worth_covering;
# status is Evidenced only for a same-word severance flip whose baseline trace names the gate
# directly (Blocked) or a same-fixture rule-id match proving the gated rule fires successfully
# elsewhere (Control); evidence always names which layer or mechanism blocks an unevidenced cell
# rather than collapsing to a bare "Unknown".
gate	arm	xml_reachable	flex_producible	worth_covering	status	fixture	word	evidence
AllomorphCoOccurrenceRules	Blocked	Yes	Yes	Yes	NotEvidenced	-	-	no severance of {AllomorphCoOccurrenceRule.primaryAllomorph} across {edge-cases/morphotactic-attribute-breadth, languages/suffixing-evidential-adjacency-chain} produced a same-word fail-to-pass flip whose baseline trace also names AllomorphCoOccurrenceRules -- the gate may only fire as noise against a candidate unrelated to the word's final result (see FailureRuleAttributor's own doc comment)
AllomorphCoOccurrenceRules	Control	Yes	Yes	Yes	NotEvidenced	-	-	Blocked arm unevidenced; Control arm requires a confirmed blocking instance to identify which rule to check
BoundRoot	Blocked	Yes	Yes	Yes	Evidenced	edge-cases/morphotactic-attribute-breadth	kur	severing Allomorph.isBound in edge-cases/morphotactic-attribute-breadth flips 'kur' from ok::- to ok::KUL|kur (conformance/interface-witness.tsv or a fresh equivalent severance run), and 'kur''s own baseline trace names BoundRoot directly (this ledger's own traced sweep)
BoundRoot	Control	Yes	Yes	Yes	NotEvidenced	-	-	Allomorph is not a rule element GrammarRuleIndex resolves to a fired-rule id -- allomorph, co-occurrence, and template/slot constructs have no "Applied" trace event to check against (the same gap FailureRuleAttributor's own doc comment records for allomorph identity)
DisjunctiveAllomorph	Blocked	Yes	Yes	Yes	NotEvidenced	-	-	xml_reachable=Yes via element content, not an attribute -- no isolable severance primitive exists in this ledger for a bare element-content construct yet (conformance/docs/how-it-is-computed.md's gate-obligations section)
DisjunctiveAllomorph	Control	Yes	Yes	Yes	NotEvidenced	-	-	xml_reachable=Yes via element content, not an attribute -- no isolable severance primitive exists in this ledger for a bare element-content construct yet (conformance/docs/how-it-is-computed.md's gate-obligations section)
Environments	Blocked	Yes	Yes	Yes	NotEvidenced	-	-	xml_reachable=Yes via element content, not an attribute -- no isolable severance primitive exists in this ledger for a bare element-content construct yet (conformance/docs/how-it-is-computed.md's gate-obligations section)
Environments	Control	Yes	Yes	Yes	NotEvidenced	-	-	xml_reachable=Yes via element content, not an attribute -- no isolable severance primitive exists in this ledger for a bare element-content construct yet (conformance/docs/how-it-is-computed.md's gate-obligations section)
ExcludedMprFeatures	Blocked	Yes	Yes	Yes	Evidenced	edge-cases/morphotactic-attribute-breadth	topdori	severing MorphologicalInput.excludedMPRFeatures in edge-cases/morphotactic-attribute-breadth flips 'topdori' from ok::- to ok::TOP+CONFEREXCL+EXCLREADER|topdori (conformance/interface-witness.tsv or a fresh equivalent severance run), and 'topdori''s own baseline trace names ExcludedMprFeatures directly (this ledger's own traced sweep)
ExcludedMprFeatures	Control	Yes	Yes	Yes	NotEvidenced	-	-	MorphologicalInput is not a rule element GrammarRuleIndex resolves to a fired-rule id -- allomorph, co-occurrence, and template/slot constructs have no "Applied" trace event to check against (the same gap FailureRuleAttributor's own doc comment records for allomorph identity)
