# GENERATED by hc-conformance --write-engine-gate-inventory. One row per SIL.Machine.Morphology.
# HermitCrab.FailureReason member (excluding None) -- HermitCrab's OWN enumeration of the
# decisions it makes when declining to apply or unapply something, kept alongside (never
# instead of) conformance/dataflow-obligations.tsv's DTD-attribute-pair denominator, because
# the engine's own enum draws different lines than the schema does: it separates gates the DTD
# fuses into one attribute and names several gates no DTD attribute pair expresses at all.
# raise_sites is mechanically scanned (RaiseSiteScanner); dtd_attributes is hand-verified
# against XmlLanguageLoader.cs (see EngineGateInventoryLedger.DtdAttributes' own doc comment) and
# '-' is a genuine finding for six gates, not a placeholder. triggered_by_fixtures/
# triggering_words/status come from EngineGateWitnessSweep, an ACTUAL traced engine run over
# every non-pathological, non-crash fixture -- status is Witnessed iff some word's trace tree
# contains this FailureReason anywhere, a materially WEAKER claim than a dataflow-obligation
# cell's same-word pair witness (see this file's own doc comment, and conformance/docs/
# how-it-is-computed.md, for why the two are not comparable strength).
gate	raise_sites	dtd_attributes	triggered_by_fixtures	triggering_words	status
AllomorphCoOccurrenceRules	Allomorph.cs:171	AllomorphCoOccurrenceRule.primaryAllomorph	edge-cases/morphotactic-attribute-breadth;languages/suffixing-evidential-adjacency-chain	kantancha;sol;takincha	Witnessed
BoundRoot	RootAllomorph.cs:61	Allomorph.isBound	edge-cases/morphotactic-attribute-breadth	kul;kulru;kur	Witnessed
DisjunctiveAllomorph	Allomorph.cs:145	-	edge-cases/disjunctive-recheck;edge-cases/free-fluctuating-allomorph-pair;edge-cases/morphotactic-attribute-breadth;edge-cases/strrep-identity	imat;ipat;kits;kots;kul;kulbubidu;kulde;kuldede;kulgi;kulgimo;kulmo;kulmoru;kulru;kur;ndmat;ndpat;pakda;pakza;wakta;wokta	Witnessed
Environments	Allomorph.cs:119	-	edge-cases/diacritic-segments;edge-cases/disjunctive-recheck;edge-cases/feature-system-breadth;edge-cases/free-fluctuating-allomorph-pair;edge-cases/strrep-identity;languages/suffixing-evidential-adjacency-chain;languages/suffixing-vowel-harmony	añota;esalik;etemik;gölta;ipat;kantay;kit;kot;ndpat;pitda;pitza;salk;sipuy;sipuymi;takiy;tupay;wak;walakni;walaknichik;walaknichiktan;walaknichikwas;walaknitan;walakniwas;walaky;wok	Witnessed
ExcludedMprFeatures	SynthesisAffixProcessRule.cs:171;SynthesisCompoundingRule.cs:163;SynthesisRealizationalAffixProcessRule.cs:129;SynthesisRewriteSubruleSpec.cs:69	MorphologicalInput.excludedMPRFeatures;HeadMorphologicalInput.excludedMPRFeatures;PhonologicalSubrule.excludedMPRFeatures	edge-cases/morphotactic-attribute-breadth;edge-cases/mpr-gated-exception;languages/suffixing-extension-slot-ordering	mbe;menanukam;mentanukam;mpe;topdori;vokadan	Witnessed
ExcludedStemName	RootAllomorph.cs:83	Allomorph.stemName	edge-cases/stem-name-restricted-root-allomorph;languages/fusional-realizational-morphology;languages/templatic-root-modification	halaku;hilaka;hilaki;hilaku;hulaka;hulaki;hulaku;kapom;mano;mans;mant;mino;mins;mint;muno;muns;munt;tamom	Witnessed
HeadPattern	SynthesisCompoundingRule.cs:222	-	-	-	Unreached
HeadProdRestrictMprFeatures	SynthesisCompoundingRule.cs:124	CompoundingRule.headProdRestrictionsMprFeatures	languages/fusional-realizational-morphology	seclav	Witnessed
HeadRequiredSyntacticFeatureStruct	SynthesisCompoundingRule.cs:109	CompoundingRule.headPartsOfSpeech	edge-cases/compounding-breadth;languages/polysynthetic-stratal-derivation-chain	kutu;patu;takuvuq	Witnessed
MaxApplicationCount	SynthesisAffixProcessRule.cs:54;SynthesisCompoundingRule.cs:58;SynthesisRealizationalAffixProcessRule.cs:57	MorphologicalRule.multipleApplication;CompoundingRule.multipleApplication	edge-cases/feature-gating-breadth;languages/fusional-realizational-morphology;languages/suffixing-extension-slot-ordering	feresid;ferid;kalid;kalmuid;limaile	Witnessed
