attempt_id	cell_id	skill_version	set	phase_reached	outcome	failure_class	notes
1	StemName::Allomorph.stemName->MorphologicalRule.requiredStemName::McDc:AbsentGatedForm	cbd1321f	reference	3	fail	false-impossibility	no words authored; argued severance cannot flip fail-to-pass on a required* reader
2	MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->MorphologicalInput.requiredMPRFeatures::McDc:AbsentGatedForm	cbd1321f	reference	3	fail	false-impossibility	same argument, three exercising fixtures checked
3	MorphologicalPhonologicalRuleFeature::MorphologicalOutput.MPRFeatures->MorphologicalInput.requiredMPRFeatures::McDc:AbsentGatedForm	cbd1321f	reference	3	fail	false-impossibility	same argument
4	MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->HeadMorphologicalInput.requiredMPRFeatures::McDc:AbsentGatedForm	cbd1321f	reference	3	fail	false-impossibility	complementary-subrule argument; may be genuinely blocked, untested by authoring
5	MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->HeadMorphologicalInput.excludedMPRFeatures::McDc:PresentGatedForm	cbd1321f	reference	3	fail	false-impossibility	mirror of 4
6	PartOfSpeech::LexicalEntry.partOfSpeech->PhonologicalSubrule.requiredPartsOfSpeech::McDc:AbsentGatedForm	cbd1321f	reference	6	pass	-	idil in metathesis-phase-isolation; first attempt; disproves attempts 1-5 general argument
7	StemName::Allomorph.stemName->MorphologicalRule.requiredStemName::McDc:AbsentGatedForm	51b1344c	reference	5	fail	no-witness	exhaustive sweep over 46 words; hard object-ref equality in SynthesisAffixProcessRule.cs:106; falsified against all 4 satisfied cells
8	MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->MorphologicalInput.requiredMPRFeatures::McDc:AbsentGatedForm	51b1344c	reference	5	fail	no-witness	swept all 71 words in both viable hosts; ruleFeatures is a plain UnionWith preset, never an Overwrite trigger
9	MorphologicalPhonologicalRuleFeature::MorphologicalOutput.MPRFeatures->MorphologicalInput.requiredMPRFeatures::McDc:AbsentGatedForm	51b1344c	reference	6	pass	-	ygofz; Overwrite group destroys a lexically-preset feature before the reader gate is checked
10	MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->HeadMorphologicalInput.requiredMPRFeatures::McDc:AbsentGatedForm	51b1344c	reference	5	fail	no-witness	authored novlav to exhaust the 5-word lexicon; both readers Unobservable; needs a grammar edit
11	MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->HeadMorphologicalInput.excludedMPRFeatures::McDc:PresentGatedForm	51b1344c	reference	5	fail	no-witness	mirror of 10; complementary subrule pair is exhaustive over one binary feature
